,input,label
144,245,Buzz
145,246,Fizz
146,247,Other
147,248,Other
148,249,Fizz
149,250,Buzz
150,251,Other
151,252,Fizz
152,253,Other
153,254,Other
154,255,FizzBuzz
155,256,Other
156,257,Other
157,258,Fizz
158,259,Other
159,260,Buzz
160,261,Fizz
161,262,Other
162,263,Other
163,264,Fizz
164,265,Buzz
165,266,Other
166,267,Fizz
167,268,Other
168,269,Other
169,270,FizzBuzz
170,271,Other
171,272,Other
172,273,Fizz
173,274,Other
174,275,Buzz
175,276,Fizz
176,277,Other
177,278,Other
178,279,Fizz
179,280,Buzz
180,281,Other
181,282,Fizz
182,283,Other
183,284,Other
184,285,FizzBuzz
185,286,Other
186,287,Other
187,288,Fizz
188,289,Other
189,290,Buzz
190,291,Fizz
191,292,Other
192,293,Other
193,294,Fizz
194,295,Buzz
195,296,Other
196,297,Fizz
197,298,Other
198,299,Other
199,300,FizzBuzz
200,301,Other
201,302,Other
202,303,Fizz
203,304,Other
204,305,Buzz
205,306,Fizz
206,307,Other
207,308,Other
208,309,Fizz
209,310,Buzz
210,311,Other
211,312,Fizz
212,313,Other
213,314,Other
214,315,FizzBuzz
215,316,Other
216,317,Other
217,318,Fizz
218,319,Other
219,320,Buzz
220,321,Fizz
221,322,Other
222,323,Other
223,324,Fizz
224,325,Buzz
225,326,Other
226,327,Fizz
227,328,Other
228,329,Other
229,330,FizzBuzz
230,331,Other
231,332,Other
232,333,Fizz
233,334,Other
234,335,Buzz
235,336,Fizz
236,337,Other
237,338,Other
238,339,Fizz
239,340,Buzz
240,341,Other
241,342,Fizz
242,343,Other
243,344,Other
244,345,FizzBuzz
245,346,Other
246,347,Other
247,348,Fizz
248,349,Other
249,350,Buzz
250,351,Fizz
251,352,Other
252,353,Other
253,354,Fizz
254,355,Buzz
255,356,Other
256,357,Fizz
257,358,Other
258,359,Other
259,360,FizzBuzz
260,361,Other
261,362,Other
262,363,Fizz
263,364,Other
264,365,Buzz
265,366,Fizz
266,367,Other
267,368,Other
268,369,Fizz
269,370,Buzz
270,371,Other
271,372,Fizz
272,373,Other
273,374,Other
274,375,FizzBuzz
275,376,Other
276,377,Other
277,378,Fizz
278,379,Other
279,380,Buzz
280,381,Fizz
281,382,Other
282,383,Other
283,384,Fizz
284,385,Buzz
285,386,Other
286,387,Fizz
287,388,Other
288,389,Other
289,390,FizzBuzz
290,391,Other
291,392,Other
292,393,Fizz
293,394,Other
294,395,Buzz
295,396,Fizz
296,397,Other
297,398,Other
298,399,Fizz
299,400,Buzz
300,401,Other
301,402,Fizz
302,403,Other
303,404,Other
304,405,FizzBuzz
305,406,Other
306,407,Other
307,408,Fizz
308,409,Other
309,410,Buzz
310,411,Fizz
311,412,Other
312,413,Other
313,414,Fizz
314,415,Buzz
315,416,Other
316,417,Fizz
317,418,Other
318,419,Other
319,420,FizzBuzz
320,421,Other
321,422,Other
322,423,Fizz
323,424,Other
324,425,Buzz
325,426,Fizz
326,427,Other
327,428,Other
328,429,Fizz
329,430,Buzz
330,431,Other
331,432,Fizz
332,433,Other
333,434,Other
334,435,FizzBuzz
335,436,Other
336,437,Other
337,438,Fizz
338,439,Other
339,440,Buzz
340,441,Fizz
341,442,Other
342,443,Other
343,444,Fizz
344,445,Buzz
345,446,Other
346,447,Fizz
347,448,Other
348,449,Other
349,450,FizzBuzz
350,451,Other
351,452,Other
352,453,Fizz
353,454,Other
354,455,Buzz
355,456,Fizz
356,457,Other
357,458,Other
358,459,Fizz
359,460,Buzz
360,461,Other
361,462,Fizz
362,463,Other
363,464,Other
364,465,FizzBuzz
365,466,Other
366,467,Other
367,468,Fizz
368,469,Other
369,470,Buzz
370,471,Fizz
371,472,Other
372,473,Other
373,474,Fizz
374,475,Buzz
375,476,Other
376,477,Fizz
377,478,Other
378,479,Other
379,480,FizzBuzz
380,481,Other
381,482,Other
382,483,Fizz
383,484,Other
384,485,Buzz
385,486,Fizz
386,487,Other
387,488,Other
388,489,Fizz
389,490,Buzz
390,491,Other
391,492,Fizz
392,493,Other
393,494,Other
394,495,FizzBuzz
395,496,Other
396,497,Other
397,498,Fizz
398,499,Other
399,500,Buzz
400,501,Fizz
401,502,Other
402,503,Other
403,504,Fizz
404,505,Buzz
405,506,Other
406,507,Fizz
407,508,Other
408,509,Other
409,510,FizzBuzz
410,511,Other
411,512,Other
412,513,Fizz
413,514,Other
414,515,Buzz
415,516,Fizz
416,517,Other
417,518,Other
418,519,Fizz
419,520,Buzz
420,521,Other
421,522,Fizz
422,523,Other
423,524,Other
424,525,FizzBuzz
425,526,Other
426,527,Other
427,528,Fizz
428,529,Other
429,530,Buzz
430,531,Fizz
431,532,Other
432,533,Other
433,534,Fizz
434,535,Buzz
435,536,Other
436,537,Fizz
437,538,Other
438,539,Other
439,540,FizzBuzz
440,541,Other
441,542,Other
442,543,Fizz
443,544,Other
444,545,Buzz
445,546,Fizz
446,547,Other
447,548,Other
448,549,Fizz
449,550,Buzz
450,551,Other
451,552,Fizz
452,553,Other
453,554,Other
454,555,FizzBuzz
455,556,Other
456,557,Other
457,558,Fizz
458,559,Other
459,560,Buzz
460,561,Fizz
461,562,Other
462,563,Other
463,564,Fizz
464,565,Buzz
465,566,Other
466,567,Fizz
467,568,Other
468,569,Other
469,570,FizzBuzz
470,571,Other
471,572,Other
472,573,Fizz
473,574,Other
474,575,Buzz
475,576,Fizz
476,577,Other
477,578,Other
478,579,Fizz
479,580,Buzz
480,581,Other
481,582,Fizz
482,583,Other
483,584,Other
484,585,FizzBuzz
485,586,Other
486,587,Other
487,588,Fizz
488,589,Other
489,590,Buzz
490,591,Fizz
491,592,Other
492,593,Other
493,594,Fizz
494,595,Buzz
495,596,Other
496,597,Fizz
497,598,Other
498,599,Other
499,600,FizzBuzz
500,601,Other
501,602,Other
502,603,Fizz
503,604,Other
504,605,Buzz
505,606,Fizz
506,607,Other
507,608,Other
508,609,Fizz
509,610,Buzz
510,611,Other
511,612,Fizz
512,613,Other
513,614,Other
514,615,FizzBuzz
515,616,Other
516,617,Other
517,618,Fizz
518,619,Other
519,620,Buzz
520,621,Fizz
521,622,Other
522,623,Other
523,624,Fizz
524,625,Buzz
525,626,Other
526,627,Fizz
527,628,Other
528,629,Other
529,630,FizzBuzz
530,631,Other
531,632,Other
532,633,Fizz
533,634,Other
534,635,Buzz
535,636,Fizz
536,637,Other
537,638,Other
538,639,Fizz
539,640,Buzz
540,641,Other
541,642,Fizz
542,643,Other
543,644,Other
544,645,FizzBuzz
545,646,Other
546,647,Other
547,648,Fizz
548,649,Other
549,650,Buzz
550,651,Fizz
551,652,Other
552,653,Other
553,654,Fizz
554,655,Buzz
555,656,Other
556,657,Fizz
557,658,Other
558,659,Other
559,660,FizzBuzz
560,661,Other
561,662,Other
562,663,Fizz
563,664,Other
564,665,Buzz
565,666,Fizz
566,667,Other
567,668,Other
568,669,Fizz
569,670,Buzz
570,671,Other
571,672,Fizz
572,673,Other
573,674,Other
574,675,FizzBuzz
575,676,Other
576,677,Other
577,678,Fizz
578,679,Other
579,680,Buzz
580,681,Fizz
581,682,Other
582,683,Other
583,684,Fizz
584,685,Buzz
585,686,Other
586,687,Fizz
587,688,Other
588,689,Other
589,690,FizzBuzz
590,691,Other
591,692,Other
592,693,Fizz
593,694,Other
594,695,Buzz
595,696,Fizz
596,697,Other
597,698,Other
598,699,Fizz
599,700,Buzz
600,701,Other
601,702,Fizz
602,703,Other
603,704,Other
604,705,FizzBuzz
605,706,Other
606,707,Other
607,708,Fizz
608,709,Other
609,710,Buzz
610,711,Fizz
611,712,Other
612,713,Other
613,714,Fizz
614,715,Buzz
615,716,Other
616,717,Fizz
617,718,Other
618,719,Other
619,720,FizzBuzz
620,721,Other
621,722,Other
622,723,Fizz
623,724,Other
624,725,Buzz
625,726,Fizz
626,727,Other
627,728,Other
628,729,Fizz
629,730,Buzz
630,731,Other
631,732,Fizz
632,733,Other
633,734,Other
634,735,FizzBuzz
635,736,Other
636,737,Other
637,738,Fizz
638,739,Other
639,740,Buzz
640,741,Fizz
641,742,Other
642,743,Other
643,744,Fizz
644,745,Buzz
645,746,Other
646,747,Fizz
647,748,Other
648,749,Other
649,750,FizzBuzz
650,751,Other
651,752,Other
652,753,Fizz
653,754,Other
654,755,Buzz
655,756,Fizz
656,757,Other
657,758,Other
658,759,Fizz
659,760,Buzz
660,761,Other
661,762,Fizz
662,763,Other
663,764,Other
664,765,FizzBuzz
665,766,Other
666,767,Other
667,768,Fizz
668,769,Other
669,770,Buzz
670,771,Fizz
671,772,Other
672,773,Other
673,774,Fizz
674,775,Buzz
675,776,Other
676,777,Fizz
677,778,Other
678,779,Other
679,780,FizzBuzz
680,781,Other
681,782,Other
682,783,Fizz
683,784,Other
684,785,Buzz
685,786,Fizz
686,787,Other
687,788,Other
688,789,Fizz
689,790,Buzz
690,791,Other
691,792,Fizz
692,793,Other
693,794,Other
694,795,FizzBuzz
695,796,Other
696,797,Other
697,798,Fizz
698,799,Other
699,800,Buzz
700,801,Fizz
701,802,Other
702,803,Other
703,804,Fizz
704,805,Buzz
705,806,Other
706,807,Fizz
707,808,Other
708,809,Other
709,810,FizzBuzz
710,811,Other
711,812,Other
712,813,Fizz
713,814,Other
714,815,Buzz
715,816,Fizz
716,817,Other
717,818,Other
718,819,Fizz
719,820,Buzz
720,821,Other
721,822,Fizz
722,823,Other
723,824,Other
724,825,FizzBuzz
725,826,Other
726,827,Other
727,828,Fizz
728,829,Other
729,830,Buzz
730,831,Fizz
731,832,Other
732,833,Other
733,834,Fizz
734,835,Buzz
735,836,Other
736,837,Fizz
737,838,Other
738,839,Other
739,840,FizzBuzz
740,841,Other
741,842,Other
742,843,Fizz
743,844,Other
744,845,Buzz
745,846,Fizz
746,847,Other
747,848,Other
748,849,Fizz
749,850,Buzz
750,851,Other
751,852,Fizz
752,853,Other
753,854,Other
754,855,FizzBuzz
755,856,Other
756,857,Other
757,858,Fizz
758,859,Other
759,860,Buzz
760,861,Fizz
761,862,Other
762,863,Other
763,864,Fizz
764,865,Buzz
765,866,Other
766,867,Fizz
767,868,Other
768,869,Other
769,870,FizzBuzz
770,871,Other
771,872,Other
772,873,Fizz
773,874,Other
774,875,Buzz
775,876,Fizz
776,877,Other
777,878,Other
778,879,Fizz
779,880,Buzz
780,881,Other
781,882,Fizz
782,883,Other
783,884,Other
784,885,FizzBuzz
785,886,Other
786,887,Other
787,888,Fizz
788,889,Other
789,890,Buzz
790,891,Fizz
791,892,Other
792,893,Other
793,894,Fizz
794,895,Buzz
795,896,Other
796,897,Fizz
797,898,Other
798,899,Other
799,900,FizzBuzz
800,901,Other
801,902,Other
802,903,Fizz
803,904,Other
804,905,Buzz
805,906,Fizz
806,907,Other
807,908,Other
808,909,Fizz
809,910,Buzz
810,911,Other
811,912,Fizz
812,913,Other
813,914,Other
814,915,FizzBuzz
815,916,Other
816,917,Other
817,918,Fizz
818,919,Other
819,920,Buzz
820,921,Fizz
821,922,Other
822,923,Other
823,924,Fizz
824,925,Buzz
825,926,Other
826,927,Fizz
827,928,Other
828,929,Other
829,930,FizzBuzz
830,931,Other
831,932,Other
832,933,Fizz
833,934,Other
834,935,Buzz
835,936,Fizz
836,937,Other
837,938,Other
838,939,Fizz
839,940,Buzz
840,941,Other
841,942,Fizz
842,943,Other
843,944,Other
844,945,FizzBuzz
845,946,Other
846,947,Other
847,948,Fizz
848,949,Other
849,950,Buzz
850,951,Fizz
851,952,Other
852,953,Other
853,954,Fizz
854,955,Buzz
855,956,Other
856,957,Fizz
857,958,Other
858,959,Other
859,960,FizzBuzz
860,961,Other
861,962,Other
862,963,Fizz
863,964,Other
864,965,Buzz
865,966,Fizz
866,967,Other
867,968,Other
868,969,Fizz
869,970,Buzz
870,971,Other
871,972,Fizz
872,973,Other
873,974,Other
874,975,FizzBuzz
875,976,Other
876,977,Other
877,978,Fizz
878,979,Other
879,980,Buzz
880,981,Fizz
881,982,Other
882,983,Other
883,984,Fizz
884,985,Buzz
885,986,Other
886,987,Fizz
887,988,Other
888,989,Other
889,990,FizzBuzz
890,991,Other
891,992,Other
892,993,Fizz
893,994,Other
894,995,Buzz
895,996,Fizz
896,997,Other
897,998,Other
898,999,Fizz
899,1000,Buzz
